periodid,periodname,periodcode,organisationunitid,organisationunitname,organisationunitcode,NUT_PLW screened for acute malnutrition By status Pregnant,NUT_PLW screened for acute malnutrition By status lactating,NUT_Pregnant Women De-Wormed default,NUT_SAM at Beginning of the Month default,NUT_Newborns < 2500 gm default,NUT_MAM at Beginning of the Month default,NUT_Live Births Weighed default,EthioYear,month_name,year_gc,region,EthioMonth,Season,NUT_Children_Weighted_GMP,NUT_Pregnant_Women_IFA_90plus,NUT_SC_Children_TransferredOut,NUT_SC_Children_NonRespondent,NUT_SC_Children_Exit,NUT_SC_Children_Died,NUT_SC_Children_Cured,NUT_SC_Children_Defaulted,NUT_Children_VitaminA,NUT_Children_Dewormed,NUT_Adolescent_Underweight,NUT_SAM_Beginning_SC,NUT_SC_Children_Stabilized,NUT_Children_With_SAM_SC,NUT_SAM_Exits_Total,NUT_SAM_Cure_Rate,NUT_SAM_Mortality_Rate,NUT_MAM_Exits_Total,NUT_MAM_Cure_Rate,NUT_MAM_Mortality_Rate,NUT_PLW_Screened_Total,NUT_PLW_MAM_Rate,NUT_Children_VitaminA_Total,NUT_Children_Admitted_Total,NUT_PLW screened for acute malnutrition By status Pregnant_smoothed,NUT_PLW screened for acute malnutrition By status lactating_smoothed,NUT_Pregnant Women De-Wormed default_smoothed,NUT_SAM at Beginning of the Month default_smoothed,NUT_Newborns < 2500 gm default_smoothed,NUT_MAM at Beginning of the Month default_smoothed,NUT_Live Births Weighed default_smoothed,NUT_Children_Weighted_GMP_smoothed,NUT_Pregnant_Women_IFA_90plus_smoothed,NUT_SC_Children_TransferredOut_smoothed,NUT_SC_Children_NonRespondent_smoothed,NUT_SC_Children_Exit_smoothed,NUT_SC_Children_Died_smoothed,NUT_SC_Children_Cured_smoothed,NUT_SC_Children_Defaulted_smoothed,NUT_Children_VitaminA_smoothed,NUT_Children_Dewormed_smoothed,NUT_Adolescent_Underweight_smoothed,NUT_SAM_Beginning_SC_smoothed,NUT_SC_Children_Stabilized_smoothed,NUT_Children_With_SAM_SC_smoothed,NUT_SAM_Exits_Total_smoothed,NUT_SAM_Cure_Rate_smoothed,NUT_SAM_Mortality_Rate_smoothed,NUT_MAM_Exits_Total_smoothed,NUT_MAM_Cure_Rate_smoothed,NUT_MAM_Mortality_Rate_smoothed,NUT_PLW_Screened_Total_smoothed,NUT_PLW_MAM_Rate_smoothed,NUT_Children_VitaminA_Total_smoothed,NUT_Children_Admitted_Total_smoothed,NUT_Modere_Malnutrition,NUT_Severe_Malnutrition,NUT_TOT_<5_Screened_for_malnutrition,prevalance_acute_malnutration,Acute malnutration rate,IPC_AMN_class,SAM_Rate,IPC_AMN_class_SAM,GPP_mean_ec
200911,Hamle 2009,200911,xNUoZIrGKxQ,Sidama Region,1063606,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,Sidama,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.0407199
200911,Hamle 2009,200911,PCKGSJoNHXi,Somali Region,1056250,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,Somali,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.0071886
200911,Hamle 2009,200911,a2QIIR2UXcd,South Ethiopia Region,1084722,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,South Ethiopia,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.032749324999999996
200911,Hamle 2009,200911,HIlnt7Qj8do,South West Ethiopia Region,1065977,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,South West Ethiopia,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.04835955
200911,Hamle 2009,200911,Gmw0DJLXGtx,Tigray Region,1056251,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Hamle,2017,Tigray,11,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.022528075
200912,Nehase 2009,200912,b3aCK1PTn5S,Federal Ministry Of Health,1000750,95.0,235.0,9.0,29.0,0.0,0.0,3.0,2009,Nehase,2017,Addis Ababa,12,Kiremt,597.0,46.0,10.185,0.15,55.2225,1.1975,31.5375,5.47,1698.0,822.0,0.0,66.245,33.7,55.175,9.0,1.0,0.0,0.0,0.8715637902846096,0.01384428642212316,1995.0,0.15789473684210525,1698.0,7.0,95.0,235.0,40.5,29.0,1.0,0.0,6.5,457.3333333333333,35.5,6.359999999999999,0.09000000000000001,38.81166666666667,0.8799999999999999,25.906666666666666,3.9766666666666666,1144.5,581.0,0.0,44.15166666666667,24.97666666666667,40.855,9.0,1.0,0.0,0.0,0.8886074451486993,0.009082136991100739,1822.5,0.165311004784689,1144.5,7.0,127.33333333333333,14.333333333333334,1895.0,141.66666666666666,7.475813544415128,Alert (3-10%),0.007563764291996482,Minimal (0-0.5%),0.028562625
200912,Nehase 2009,200912,yY9BLUUegel,Addis Ababa City Administration,1056254,95.0,235.0,92.0,29.0,0.5,0.0,179.5,2009,Nehase,2017,Addis Ababa,12,Kiremt,1330.5,159.5,0.795,0.015,2.1275,0.115,4.12,0.01,1149.0,600.0,0.0,1.795,4.435,0.785,9.0,1.0,0.0,0.0,0.9450003437290581,0.003770703925352882,2313.0,0.14280141631158855,1149.0,7.0,95.0,235.0,47.166666666666664,29.0,0.5,0.0,63.0,645.8333333333334,80.33333333333333,3.921666666666667,0.06166666666666667,19.825833333333332,0.4791666666666667,13.320833333333333,1.8299999999999998,1330.5,667.6666666666666,0.0,23.278333333333336,14.245000000000003,18.924999999999997,9.0,1.0,0.0,0.0,0.9126380312110026,0.006931760109824602,2043.5,0.15533571931279425,1330.5,7.0,131.0,12.166666666666668,1895.0,143.16666666666666,7.554969217238345,Alert (3-10%),0.006420404573438875,Minimal (0-0.5%),0.028562625
200912,Nehase 2009,200912,UFtGyqJMEZh,Afar Region,1056255,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Nehase,2017,Afar,12,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.009052525
200912,Nehase 2009,200912,yb9NKGA8uqt,Amhara Region,1069284,446.345,355.34,106.0,49.895,0.0,52.7325,252.0,2009,Nehase,2017,Amhara,12,Kiremt,314.0,183.0,8.225,0.08,49.005,1.27,32.5525,5.415,486.0,201.0,4.2325,65.28,33.225,54.23,12.7525,0.8933324086348109,0.0016087972515432258,12.6,0.8736439212156866,0.0095206596048381,180.0,0.025236593059936908,486.0,56.1875,263.96750000000003,257.28499999999997,106.0,29.626250000000002,0.0,27.6125,252.0,314.0,183.0,4.325,0.05,24.6525,0.635,16.58875,2.71,486.0,201.0,2.1887499999999998,32.660000000000004,16.6125,27.115,10.49125,0.9231996146749494,0.0014172694107370217,9.225,0.9109084393851872,0.005318769908401126,180.0,0.025236593059936908,486.0,32.6725,622.28,100.135,1711.2608687284937,722.415,42.21536372398739,Extremely Critical (>=30%),0.0585153332433778,Minimal (0-0.5%),0.03947655
200912,Nehase 2009,200912,Fccw8uMlJHN,Benishangul Gumuz Regional Health Bureau,6,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,2009,Nehase,2017,Benishangul Gumuz,12,Kiremt,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,81.59,159.23,1845.597359819102,6.0925,12.55,5.345,1682.915,38171.52,2185.815,0.05,0.0,0.0,0.0,0.0,0.0,20738.655,15097.325,0.145,0.0175,0.0,0.0,6.255,0.9522314453949808,5.7171859307277934e-05,2.625,0.9790286900510264,0.003778100255537137,14769.0125,0.11604118650970956,21627.635,9.15,803.0115284710853,400.8125,1711.2608687284937,1203.8240284710853,70.34719547847513,Extremely Critical (>=30%),0.23422057228353088,Minimal (0-0.5%),0.05527355
